Genotype (I.D.),Animal,Stimulus,GENDER,Paw Velocity (mm/s),Paw Height (mm),Pain Score,,,,,,,,,
TrpV1-ChR2,1,10mW blue,Male,502.91,9.63,2,,,,,,,,,
TrpV1-ChR2,2,10mW blue,Male,1427.52,11.14,2,,,,,,,,,
TrpV1-ChR2,3,10mW blue,Male,800.72,9.35,2,,,,,,,,,
TrpV1-ChR2,4,10mW blue,Male,247.63,9.26,1,,,,,,,,,
TrpV1-ChR2,5,10mW blue,Male,781.92,8.29,2,,,,,,,,,
TrpV1-ChR2,6,10mW blue,Male,870.91,11.65,2,,,,,,,,,
TrpV1-ChR2,7,10mW blue,Female,1378.81,11.24,2,,,,,,,,,
TrpV1-ChR2,8,10mW blue,Female,243.22,11.19,3,,,,,,,,,
TrpV1-ChR2,9,10mW blue,Male,1787.46,21.30,3,,,,,,,,,
TrpV1-ChR2,10,10mW blue,Male,2216.75,13.90,2,,,,,,,,,
TrpV1-ChR2,11,10mW blue,Male,210.70,5.66,3,,,,,,,,,
TrpV1-ChR2,12,10mW blue,Male,392.92,13.95,2,,,,,,,,,
TrpV1-ChR2,13,10mW blue,Male,924.75,8.67,2,,,,,,,,,
TrpV1-ChR2,14,10mW blue,Male,1190.45,11.40,2,,,,,,,,,
TrpV1-ChR2,15,10mW blue,Male,929.33,11.61,2,,,,,,,,,
TrpV1-ChR2,10,10mW blue+ Painkiller,Male,1109.80,9.7481,2,,,,,,,,,
TrpV1-ChR2,11,10mW blue+ Painkiller,Male,804.32,8.7407,1,,,,,,,,,
TrpV1-ChR2,12,10mW blue+ Painkiller,Male,1260.63,12.3896,2,,,,,,,,,
TrpV1-ChR2,13,10mW blue+ Painkiller,Male,476.52,5.7708,0,,,,,,,,,
TrpV1-ChR2,14,10mW blue+ Painkiller,Male,393.26,6.9868,0,,,,,,,,,
TrpV1-ChR2,15,10mW blue+ Painkiller,Male,976.15,9.4748,0,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
